"clade","B121-M06","B088-M06","B211-M04","B299-M04","B081-M04","B235-M06","B142-M12","H01-M06","H23-M06","B454-M12","B454-M06","H15-M04","B334-M04","B117-M06","B266-M06","B177-M06","B168-M06","B087-M06","B146-M04","B327-M06","H11-M04","B063-M04","B470-M06","B346-M06","H04-M04","H09-M06","H08-M12","B005-M04","B109-M12","H19-M12","B117-M04","B198-M06","B142-M04","B372-M12","H28-M04","H20-M04","B372-M04","H10-M04","B454-M04","B044-M04","H09-M04","B151-M06","B061-M04","B211-M06","B386-M06","B185-M06","H07-M06","B066-M12","B358-M12","B177-M04","H03-M12","H06-M12","H02-M04","H03-M04","B185-M04","B061-M06","B123-M04","B461-M06","B372-M06","H04-M12","B193-M06","B066-M06","B103-M04","B336-M06","B142-M06","B168-M04","B301-M12","B103-M12","B226-M06","B341-M06","H20-M12","B087-M04","B029-M06","B358-M06","H07-M04","B379-M12","H01-M04","B226-M04","B066-M04","B977-M06","B043-M06","B228-M12","H11-M12","B426-M12","B364-M04","B177-M12","B235-M04","B198-M12","B349-M12","B295-M06","H22-M06","B294-M04","B029-M12","B081-M06","B341-M12","B109-M04","B346-M04","B461-M12","H27-M04","B029-M04","H01-M12","H26-M12","B301-M06","H04-M06","H15-M06","B295-M12","B475-M12","B167-M06","H21-M04","B123-M12","B190-M06","H12-M06","B005-M06","B977-M12","B349-M06","B236-M04","H19-M04","B299-M06","B336-M12","B341-M04","B294-M06","B190-M04","B063-M12","B044-M12","H18-M06","B226-M12","B087-M12","B295-M04","B069-M04","B475-M06","H06-M04","B426-M04","B266-M12","B125-M12","B327-M04","B346-M12","B168-M12","B121-M12","B117-M12","H27-M06","B109-M06","B301-M04","B174-M06","B336-M04","B327-M12","B167-M04","B426-M06","B151-M04","H03-M06","B103-M06","B193-M04","H09-M12","B005-M12","B069-M06","B228-M06","B266-M04","B211-M12","H26-M06","B081-M12","B165-M04","B470-M12","H02-M06","H17-M06","H17-M12","H05-M06","H26-M04","H08-M06","H08-M04","H22-M12","B198-M04","B358-M04","B349-M04","H15-M12","B364-M12","H28-M06","B991-M04","H11-M06","B991-M06","B088-M12","B146-M12","B193-M12","H20-M06","B063-M06","B235-M12","B379-M06","B174-M04","B088-M04","B069-M12","H12-M12","B991-M12","B386-M12","B043-M04","H05-M12","B061-M12","B125-M06","H05-M04","B236-M06","H07-M12","B165-M06","B461-M04","B364-M06","B475-M04","H19-M06","B379-M04","H06-M06","H23-M12","H10-M12","H21-M06","B470-M04","H17-M04","B044-M06","B299-M12","B185-M12","B190-M12","H18-M12","H21-M12","B125-M04","H02-M12","B977-M04","H23-M04","H12-M04","B334-M06","B043-M12","B334-M12","B228-M04","B121-M04","H10-M06","H22-M04","B294-M12","B123-M06","H27-M12","B165-M12","B386-M04","B236-M12","B151-M12","B167-M12"
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pseudopneumoniae",0,0,0,0,0,0.0293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03841,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01543,0,0,0.02316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01649,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00437,0,0,0.06033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02215,0,0,0.00386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis",0,0,0,0,0,0,0.19669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.38113,0,0,0.3963,0,0,0,0,70.89944,0,0,0,0,0,0,0,0,0.12152,0,0.01126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16474,0,0,0,0,0.05639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02167,0,0,0,0.01783,0,0,0,0,0,0,0,0,0,0,66.53166,0.11665,0,0.16803,0,0,0,0,0,0,0.40031,0,0,0,0,0,0,0,0,0,0.41985,0,0,0,0,0,0,0,0,0.02028,0,0,0,0,1.89623,0,0,0,0,0,0,0,0.35184,1.4217,0,0,0,0,0,0,0,0,0.12811,0,0.5524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03528,0,0.03331,0,0,2.96856,0,0,0,0,0.56141,0,0,0,0,0,0,69.66538,0.00654,0,0.60989,0,0,0,0,0,0,0,0,0.15286,0,0.15316,0.70531,0,0,0,0,0.19113,0.32749,0,0,0,0,0,0,0,0,14.72146,0,0.36451,0,0,0,0,0,0,0,0,35.30698,0,0,0,0,0.15227,0,6.0436,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_pseudocatenulatum",0,0,0,0,0,0,16.28331,0,0,0,0,0,0,0,0,0,0,0,0,71.64135,0,0,0,0,0,0,0,0,0,0.16357,0,0,0.50208,0,30.09509,0,0,10.81535,0,0,0,0,0,0,0,0,0,0,0.96165,0,4.33953,0,0,0,0,0,0,0,0,0,0.04363,0,0,0,41.55245,0,6.81549,0,0.02374,0,9.73791,0,0,0,0,22.80847,0,23.21648,0,0,0,0,0,0,0,0,0,0,0,0,14.35482,0,0,0,28.49372,0,0,0,0,0,0,0,0,0,0,0,0,0,21.37973,0,0,0,0.00394,0,0.11674,0,14.41181,0,2.41855,0,0,0,0,0,0,23.37213,0,0,8.75985,4.656,0,32.03375,2.81716,0,33.46686,0.74997,3.86205,0,0,0,0,0,0,0,0,0,5.02834,0,0,0,0,5.66137,0,5.50129,0,0,0,0,0,0,0,0,0,0.1227,0,0,0,0,28.04475,0,0,0,0,0,15.5852,0,0,0.02505,0,0,0,0,0,0,0,0,0,1.20562,0,0.13582,0,0,19.092,0,0,0,0,0,0,0,0,58.86993,30.71663,0,0,30.2831,5.59209,13.45828,0,0,0,0,0,0,0,0,0,23.40714,45.49307,0,0,0,0,0,0,0,20.19495,18.54627,0,0,0,5.1551,0,0,0,0
"k__Bacteria|p__Verrucomicrobia|c__Verrucomicrobiae|o__Verrucomicrobiales|f__Akkermansiaceae|g__Akkermansia|s__Akkermansia_muciniphila",15.37922,0,0,0,0,0,0,0,0,0,0,29.44558,0,0,8.26818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00528,0,0,0,0,0,0,0,0.00036,0,0,0,0,0,0.01969,0,0,0,0,93.73227,0,4.50296,0,0,0,0,0,0,0,0,0,0,0.16449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.70392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03849,0,1.0463,0,0,0,0.08924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9636,0,0,0,0,0,0,0,0,0,0,0,0,0.4813,0,0,0,1.41932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.42358,0,0,0,0,1.15453,0,83.73304,0,0,0.02031,0,0,0.16988,0,0,0,0,0,3.63281,0.01814,0,0,0,0,0.21319,0,0,0,0,0.23036,0,0,6.70092,0,0.17681,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_tayi",0.54928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.49544,0,0.07655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17104
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Faecalicatena|s__Faecalicatena_orotica",0.41372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54644,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Coprobacillus|s__Coprobacillus_cateniformis",0.03622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00435,0,0,0,0,0,0.45946,0,0,0,0,0,0,0,0,0.17119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.88275,0,0,0,0,0,0,0,0,0,1.88145,0,0,0,0,0,0,0,0,0,0.24247,0,0,0,2.80338,0,0,0,0,0,0,0.0725,0,0,0,0,0,0,0.04554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00696,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00231,0,0,0,0,0,0.23902,0.01281,0,0,0,0,0,0,0,0,0,0.16002,0,0,0,0.0437,1.89162,0.0044,0,0,0,0.04723,0,0,0,0,0,0,0,0,0,0.00725,0,0.35445,0.01893,0.01801,0,0,0,0,0,0,0,0,0,0,0,0,0.02152,0,0,0,0,0,0,0,0,0,0.04476,0,0,0,0,0,0,0.00618,0,0,0,0,0,0,0,0.38967,0,0,0,0,0.03451
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0,0,0,0,0.1559,0,0,0,0,0,0,0,0,0,0.23557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00593,0,0,0,0,0,0.27294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.56531,0,0,0,0,0,0,0,0,0,0,0.26533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.17885,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00843,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12009,0,0.35349,0,0,0.07213,0,0,0,0,0,0,0,0,0,0,0,6.80756,0,0,0,0,0,0.49495,0,0,0,0,0,0,0,0,0,0.01986,0,0.05263,0,0,0,0.01655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91493,0,0,20.09415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi",0,0,0,0,0,0,0,0,0.07196,0,0,0.0247,0,0,4.20477,0,0,0,0,0,0,0,0,0,1.31391,0,0,0,0,0,0,0,0,0,0.03833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01093,0,0,0.01757,0.07447,0.00667,0,0,0,0.00917,0,0.05008,0,0,0,0.03717,0,0,0,0,0,0.00671,0,0,0,0,0,0,0,0,0,0,2.5183,0,0,0,0,0,0,0,0,0,0,0,0.11472,0,0,0,0,0.06092,0,0,0.17193,0,0,0.0204,3.29858,0,0,0.491,0.00272,0,0,0,0,0,0.41449,0,0,0,0.14698,0.02745,0,0,0,0.00101,0,0,0,0,0,0,0,0,0,0,0,0,0.01607,1.2761,0,0.0039,0,0,0,0.00362,0,0.72645,0,0,0,0,1.07318,0.00646,0.03693,0,0,3.32688,0,0,0,0,0,0.28097,0,0,0,0,0,0,0,0,0.254,3.71349,0.11181,0.04644,0.08876,0,0,0.02048,0,0,0.96743,0,0,0,0,0,0,0,0.0178,0.14673,0.75762,0.24639,0.03246,0,0,0,0,0.0392,0,0,0,0,0,0,0,0.45416,0.04938,0.616,0,0,0,0,0,0.01054,0.88744,0.36008,0,0.05454,0,0,0,0,0.0357,0,0,0,0,0,0.01321,0,0.0442,0,0,0,0,4.67408
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0,0,0,0,0,0,0,0,0.06998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02598,0.06454,0,0,0,0,0,0,0,0.33013,0.73544,0,2.6746,0,0,0.07432,0,0,0,0,0,0,0,0.08066,0,0,0,0,0,0,0,0,0.0121,0,0,0,0,0,0,0,0,0,0,0,0.04196,0.8933,0,0,0,0,0,0,0,0,0,0,0,2.10664,0,0,0,0,0,0,0,0.03817,0,0,0,0.02302,0,0,7.74101,0,0,0,0,0.15703,0,0,0,0,0,1.87023,0,0,0,0,0,0,53.20609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.00064,0,0.00122,0,0,0,0,0,0.1452,0,0,0,0,0,0,0,0,0,0.13032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6696,0.00154,1.32356,0,0.0453,0,0,0,8.73179,0,0,0,0,0.03811,0,1.54901,0,0,0,0,0,0,0,0,0,0,0.3161,0,0,0,0.00467,0,0,0,0,0,0,0,0,0.14802,0.06766,2.79673,0,0,0,0,0,0,0,9.17634,0,0.44057,0,0.4768,0,0,0,0,0,0,2.43505,0.02486,0,0,0,0,0,0.4206,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Anaeroglobus|s__Anaeroglobus_geminatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.54934,0,0,0,0,0.18729,0.02721,0,0.00918,0.15227,0,0,0,0,0,1.90609,0,0,0,0,0.7255,0,0,0,0,0,0.17005,0,0.00198,0,0,0,0,0,0,0,0.0046,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76822,0,0,0,0,0,0,0,0,0,0,0,2.37379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01922,0,0,0,0,0.15596,0,0,0,0,0,5.28713,0.39964,0,0,0,0,0,0,0,0,7.71375,0,0,0,0,0,0,0,0,0,0.01543,0,0,0,0,0,0,0,0,0,0,0,1.82943,0.38293,0,0,0,0,0,0,0,0,0,0.00992,0,0.71259,0,0,0,0,0,0,0,0,0,0,0,0,0.10739,0.00744,0.02715,0,0.02893,0,1.22163,0,0,0,7.93405,0,0,0,0,0.01402,0,0,0,0,0,0,0,0.14412,0,0,0,0,0,0,0,0,0,0.02002,0,0,0,0,0,0,0,6.40778,0,0,0,0,0,0,0,4.56065,0,0.66871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81135,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Acidaminococcales|f__Acidaminococcaceae|g__Acidaminococcus|s__Acidaminococcus_intestini",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23267,0,0,0,0,0,0,0,0,0,0,0,0,50.31765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.84804,0,0.14544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01168,0,0,0,0,0,0,0,0,0,0,0,19.23473,0,0,0,0,0,0,0,0,0,0,0,5.46412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.85295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus",0,0,0,0,0,0,0.00892,0,0,1.27996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32951,0,0,0,1.19129,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18084,0.49407,0,12.58951,0,0,0,0,0.03638,0,0,0,0,0,0.91911,0,7.38378,0,0,3.54844,0,0,0,14.32261,0,0,11.35277,0,2.23049,0,0,0,0,0,0,3.95063,0,0,0,0,0,0,0,12.17554,0,0,0,0,0,0,0,0,0,35.49963,17.4164,0.10347,0,0,5.49226,0,0,0.42848,0,0,0,0,0,0,0,0,0,3.13138,0,0,0,0,0,0,6.3899,0,0,0,0,0,0,0,0,0,1.19419,14.35887,0,0,0,0,0,0,10.00249,0,0,0,0,0,0,0,22.63278,0,0,0,0,0,4.27974,9.98716,0,0,0,0,1.06764,0,0,0,0,3.04594,0,1.32012,0,0,0,0,0,0,0,0,0,0,5.96054,0,0,0,0,0,0,24.20923,0,0,0,5.60343,6.27086,0,0,0,0,0,0,0,0,0.03921,0,0,0,22.07578,4.53683,0,0,0,0,0,0,12.88046,6.08448,0,3.22581,0,0,0,0,0,0,0,0,0,4.98664,0,0,0,0,0,1.14833,0,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Veillonella|s__Veillonella_tobetsuensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.24237,0,0,0,0,0,1.02793,0,0.00252,0,0,0,0,0,0,0,0,0,0,0.38253,0,0,0,0,0,0,0,0,0,0,0,0.6302,0,0,0,0,0.41488,0,0,0,0,0.00424,0,0,0,0,0.00557,0,0,0,0,0,0,0,0,0,0,0,0,1.892,0,0,0,0.04361,0,0,0,0,0,0,0,0,4.3267,0,0,0,0,0,0,0,0,0,0.48692,0.04634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01506,0,0.00596,0.48164,0.30461,0,0,0,0,0,0,0,0,0,0,1.08047,0.82042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07884,0,0,0,0,0,0,0,0,0.93332,0,0,0,0,0,0,0,0,0,0.13257,0,0,0,0,0,0,0,0.14127,0,0,0,0,0,0,0,0,0,0,0.00499,0.30177,0,0,0.04947,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospiraceae_unclassified|s__Eubacterium_rectale",0,0.12464,0,0,0,0,0,0,0,1.65462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.9327,0,0,0.02578,0,0,0,0,0,0,0,0,0.00686,0,0,0,0.00339,0,0,0,0,0.12904,0,0,0,0,0,0,0,1.60278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12956,0,0,0.04374,0,0,0,0,0,0,12.70701,0,0.48055,0,0,0,0,0,0,0,0,0,0,0.00152,0,0,0,0,0.16412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.07354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00281,0,4.86267,0,0,0,0,0,0,0,0,0,0.51628,0,0,0,0,0,0,0,0,0,2.4518,0,0,13.88616,0,0,0,0,0,0,0,0,0,0,33.32947,2.64603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47337,0,0,0,0,0,0,0,0
"k__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium_periodonticum",0,0,0.00089,0.12195,0,0.18631,0,0,0,0,0,0,0,0.00919,0,0,0,0,0,0,0.02191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00562,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_faecis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.56086,0,0,0,0,0,0,0.02137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.31036,0,0.0017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.6331,0,0,0,0,0,0,0,0.00743,0,0,0,0,0,0,0,0,0,0.95392,15.5826,0,0,0,3.2507,0,0,0,0,0,0,0,0,0,0,0,0,0.01914,0,0,0,0,0,0,0,0.07564,0,0,0,0,0,0,0,0,0,0.5769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00029,0,0,0,0,0,0,0,0,0,0,0,0.05353,0,0,0,0,0.63548,11.64419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.32889,0,0,1.00627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.83084,0,0,0,0,0,0,0,0,0,0,0,0.00188,0,0,0,0,0,0,0,0
